"","hgnc_symbol","uniprot_gn_id"
"538","L2HGDH","G3V3E2"
"539","L2HGDH","G3V272"
"540","L2HGDH","G3V5S1"
"541","GABBR1","Q9UBS5"
"542","GABBR1","A0A0G2JKF9"
"543","GABBR1","Q5SUJ9"
"544","GABBR1","F8WF38"
"545","GABBR1","A0A140T9S4"
"546","GABBR1","F8WAV2"
"547","GABBR1","A0A140TA42"
"548","GABBR1","F8WDC0"
"549","GABBR1","C9JZG6"
"550","GABBR1","F8WAS6"
"551","GABBR1","C9J342"
"552","HIP1","O00291"
"553","HIP1","C9JMG5"
"554","TSG101","Q99816"
"555","TSG101","F5H442"
"556","TSG101","J3QRU6"
"557","SNX18P10",""
"558","ANKRD63","C9JTQ0"
"559","LINC01684",""
"560","PLCB2","Q00722"
"561","PLCB2","Q9BVT6"
"562","PLCB2","H0YNI4"
"563","SERPINA6","P08185"
"564","SERPINA6","G3V4V7"
"565","SERPINA6","G3V350"
"566","TMEM50B","F8WDH1"
"567","TMEM50B","P56557"
"568","TMEM50B","F8WBF4"
"569","TMEM50B","C9K0I4"
"570","RAD23BP2",""
"571","TRIM26BP",""
"572","GJD4","Q96KN9"
"573","MTCO1P1",""
"574","RPP21","A0A140T9R9"
"575","RPP21","A0A0G2JIT5"
"576","RPP21","Q9H633"
"577","RPP21","A0A0G2JJY3"
"578","RPP21","A0A0G2JKY0"
"579","RPP21","A0A096LP39"
"580","RPP21","A0A0G2JHI3"
"581","RPP21","A0A140TA46"
"582","RPP21","A0A0G2JJ26"
"583","RPP21","A0A0G2JJ52"
"584","WHAMMP3",""
"585","HNRNPDLP1",""
"586","LINC01689",""
"587","FZD8","Q9H461"
"588","RPL7P37",""
"589","RPS7P13",""
"590","PCAT5",""
"591","LINC02630",""
"592","SERPINA2","A0A0G2JPK4"
"593","SERPINA2","A0A0G2JS25"
"594","CHCHD2P8",""
"595","PAN3-AS1",""
"596","FZD9","O00144"
"597","KIR3DL2","P43630"
"598","KIR3DL2","Q9BQU0"
"599","KIR3DL2","A0A0G2JMS0"
"600","KIR3DL2","Q6H2F6"
"601","KIR3DL2","A0A0U5GHD6"
"602","KIR3DL2","A0A0G2JLX7"
"603","KIR3DL2","Q8NHK6"
"604","KIR3DL2","A0A0U1WNF3"
"605","KIR3DL2","A0A0G2JPQ5"
"606","KIR3DL2","K7R1T8"
"607","KIR3DL2","A0A0G2JP93"
"608","KIR3DL2","A0A0G2JM36"
"609","KIR3DL2","A0A0G2JPA6"
"610","KIR3DL2","A0A0G2JLP2"
"611","KIR3DL2","A0A0G2JNA1"
"612","KIR3DL2","A0A0G2JP59"
"613","KIR3DL2","A0A0G2JLZ4"
"614","KIR3DL2","A0A0U5FLC8"
"615","KIR3DL2","A0A0G2JPL0"
"616","KIR3DL2","A0A0G2JNN5"
